Y reward cum_regret
1 -1 1
1 0 0.5
1 -1 0.6666666666666666
0 -1 0.75
0 0 0.6
1 -1 0.6666666666666666
0 -1 0.7142857142857143
1 -1 0.75
1 0 0.6666666666666666
1 0 0.6
2 -1 0.6363636363636364
2 -1 0.6666666666666666
2 -1 0.6923076923076923
1 0 0.6428571428571429
0 -1 0.6666666666666666
1 -1 0.6875
1 -1 0.7058823529411765
1 0 0.6666666666666666
0 0 0.631578947368421
1 -1 0.65
2 -1 0.6666666666666666
2 -1 0.6818181818181818
2 -1 0.6956521739130435
0 -1 0.7083333333333334
1 0 0.68
1 0 0.6538461538461539
1 0 0.6296296296296297
0 -1 0.6428571428571429
1 0 0.6206896551724138
1 0 0.6
1 0 0.5806451612903226
1 0 0.5625
0 -1 0.5757575757575758
0 -1 0.5882352941176471
1 0 0.5714285714285714
1 0 0.5555555555555556
0 -1 0.5675675675675675
1 0 0.5526315789473685
0 -1 0.5641025641025641
0 -1 0.575
1 0 0.5609756097560976
1 0 0.5476190476190477
1 0 0.5348837209302325
0 -1 0.5454545454545454
0 -1 0.5555555555555556
1 0 0.5434782608695652
0 -1 0.5531914893617021
1 0 0.5416666666666666
0 -1 0.5510204081632653
0 -1 0.56
2 -1 0.5686274509803921
1 0 0.5576923076923077
1 0 0.5471698113207547
0 -1 0.5555555555555556
1 0 0.5454545454545454
1 0 0.5357142857142857
0 -1 0.543859649122807
1 0 0.5344827586206896
2 -1 0.5423728813559322
2 -1 0.55
1 0 0.5409836065573771
1 0 0.532258064516129
1 0 0.5238095238095238
1 0 0.515625
1 0 0.5076923076923077
1 0 0.5
0 -1 0.5074626865671642
2 -1 0.5147058823529411
1 0 0.5072463768115942
0 -1 0.5142857142857142
1 0 0.5070422535211268
0 -1 0.5138888888888888
1 0 0.5068493150684932
1 0 0.5
1 0 0.49333333333333335
0 -1 0.5
1 0 0.4935064935064935
2 -1 0.5
0 -1 0.5063291139240507
0 -1 0.5125
1 0 0.5061728395061729
1 0 0.5
1 0 0.4939759036144578
1 0 0.4880952380952381
1 0 0.4823529411764706
0 -1 0.4883720930232558
0 -1 0.4942528735632184
0 -1 0.5
1 0 0.4943820224719101
0 -1 0.5
1 0 0.4945054945054945
2 -1 0.5
0 -1 0.5053763440860215
0 -1 0.5106382978723404
1 0 0.5052631578947369
0 -1 0.5104166666666666
0 -1 0.5154639175257731
2 -1 0.5204081632653061
1 0 0.5151515151515151
0 -1 0.52
0 -1 0.5247524752475248
1 0 0.5196078431372549
1 0 0.5145631067961165
2 -1 0.5192307692307693
0 -1 0.5238095238095238
1 0 0.5188679245283019
2 -1 0.5233644859813084
0 -1 0.5277777777777778
1 0 0.5229357798165137
1 0 0.5181818181818182
1 0 0.5135135135135135
0 -1 0.5178571428571429
1 0 0.5132743362831859
1 0 0.5087719298245614
1 0 0.5043478260869565
1 0 0.5
1 0 0.49572649572649574
0 -1 0.5
0 -1 0.5042016806722689
0 -1 0.5083333333333333
1 0 0.5041322314049587
1 0 0.5
1 0 0.4959349593495935
0 -1 0.5
0 -1 0.504
1 0 0.5
1 0 0.49606299212598426
2 -1 0.5
0 -1 0.5038759689922481
0 -1 0.5076923076923077
1 0 0.5038167938931297
1 0 0.5
1 0 0.49624060150375937
1 0 0.4925373134328358
0 -1 0.4962962962962963
1 0 0.49264705882352944
0 -1 0.49635036496350365
1 0 0.4927536231884058
0 -1 0.49640287769784175
1 0 0.4928571428571429
1 0 0.48936170212765956
0 -1 0.49295774647887325
1 0 0.48951048951048953
0 -1 0.4930555555555556
1 0 0.4896551724137931
0 -1 0.4931506849315068
0 -1 0.4965986394557823
1 0 0.49324324324324326
0 -1 0.49664429530201343
1 0 0.49333333333333335
1 0 0.4900662251655629
1 0 0.4868421052631579
2 -1 0.49019607843137253
1 0 0.487012987012987
1 0 0.4838709677419355
0 -1 0.48717948717948717
1 0 0.4840764331210191
1 0 0.4810126582278481
2 -1 0.48427672955974843
1 0 0.48125
1 0 0.4782608695652174
1 0 0.47530864197530864
2 -1 0.4785276073619632
0 -1 0.4817073170731707
1 0 0.47878787878787876
0 -1 0.4819277108433735
2 -1 0.48502994011976047
0 -1 0.4880952380952381
1 0 0.48520710059171596
1 0 0.4823529411764706
2 -1 0.4853801169590643
2 -1 0.4883720930232558
1 0 0.48554913294797686
1 0 0.4827586206896552
1 0 0.48
0 -1 0.48295454545454547
0 -1 0.4858757062146893
1 0 0.48314606741573035
1 0 0.48044692737430167
1 0 0.4777777777777778
1 0 0.47513812154696133
1 0 0.4725274725274725
0 -1 0.47540983606557374
1 0 0.47282608695652173
1 0 0.4702702702702703
